	SYS343_#1	SYS343_#2	SYS346_#1	SYS346_#2	SYS346_#3	SYS346_#4	SYS333_#1	SYS333_#2	SYS311_#1	SYS311_#2	SYS297_#1	SYS297_#2	SYS325_#1	SYS325_#2	SYS320_#1	SYS320_#2	SYS339_#1	SYS339_#2	SYS339_#3	SYS295_#1	SYS295_#2	SYS303_#1	SYS303_#2	SYS301_#1	SYS301_#2	SYS301_#3	SYS330_#1	SYS330_#2	SYS319_#1	SYS319_#2	SYS304_#1	SYS304_#2	SYS323_#1	SYS323_#2	SYS323_#3	SYS331_#1	SYS331_#2	SYS306_#1	SYS306_#2	SYS300_#1	SYS300_#2	SYS302_#1	SYS302_#2	SYS341_#1	SYS341_#2	SYS347_#1	SYS347_#2	SYS348_#1	SYS348_#2	SYS307_#1	SYS307_#2	SYS332_#1	SYS332_#2	SYS338_#1	SYS338_#2	SYS317_#1	SYS317_#2	SYS317_#3	SYS337_#1	SYS337_#2	SYS334_#1	SYS334_#2	SYS327_#1	SYS327_#2	SYS315_#1	SYS315_#2	SYS345_#1	SYS345_#2	SYS345_#3	SYS293_#1	SYS293_#2	SYS313_#1	SYS313_#2	SYS299_#1	SYS299_#2	SYS299_#3	SYS299_#4	SYS314_#1	SYS314_#2	SYS314_#3	SYS314_#4	SYS329_#1	SYS329_#2	SYS329_#3	SYS336_#1	SYS336_#2	SYS322_#1	SYS322_#2	SYS322_#3	SYS298_#1	SYS298_#2	SYS308_#1	SYS308_#2	SYS308_#3	SYS308_#4	SYS310_#1	SYS310_#2	SYS310_#3	SYS310_#4	SYS310_#5	SYS310_#6	SYS310_#7	SYS310_#8	SYS309_#1	SYS309_#2	SYS309_#3	SYS344_#1	SYS344_#2	SYS316_#1	SYS316_#2	SYS305_#1	SYS305_#2	SYS318_#1	SYS318_#2	SYS342_#1	SYS342_#2	SYS328_#1	SYS328_#2	SYS328_#3	SYS349_#1	SYS349_#2	SYS349_#3	SYS312_#1	SYS312_#2	SYS294_#1	SYS294_#2	SYS340_#1	SYS340_#2	SYS296_#1	SYS296_#2	SYS324_#1	SYS324_#2	SYS324_#3	SYS321_#1	SYS321_#2	SYS335_#1	SYS335_#2	SYS234_#1	SYS234_#2	SYS234_#3	SYS237_#1	SYS237_#2	SYS235_#1	SYS235_#2	SYS243_#1	SYS243_#2	SYS243_#3	SYS238_#1	SYS238_#2	SYS248_#1	SYS248_#2	SYS239_#1	SYS239_#2	SYS242_#1	SYS242_#2	SYS246_#1	SYS246_#2	SYS246_#3	SYS232_#1	SYS232_#2	SYS232_#3	SYS249_#1	SYS249_#2	SYS247_#1	SYS247_#2	SYS240_#1	SYS240_#2	SYS244_#1	SYS244_#2	SYS236_#1	SYS236_#2	SYS241_#1	SYS241_#2	SYS241_#3	SYS241_#4	SYS233_#1	SYS233_#2	SYS245_#1	SYS245_#2	SYS358_#1	SYS358_#2	SYS368_#1	SYS368_#2	SYS368_#3	SYS368_#4	SYS363_#1	SYS363_#2	SYS363_#3	SYS364_#1	SYS364_#2	SYS370_#1	SYS370_#2	SYS370_#3	SYS361_#1	SYS361_#2	SYS366_#1	SYS366_#2	SYS357_#1	SYS357_#2	SYS357_#3	SYS355_#1	SYS355_#2	SYS369_#1	SYS369_#2	SYS291_#1	SYS291_#2	SYS292_#1	SYS292_#2	SYS367_#1	SYS367_#2	SYS367_#3	SYS371_#1	SYS371_#2	SYS371_#3	SYS356_#1	SYS356_#2	SYS350_#1	SYS350_#2	SYS353_#1	SYS353_#2	SYS354_#1	SYS354_#2	SYS360_#1	SYS360_#2	SYS360_#3	SYS359_#1	SYS359_#2	SYS359_#3	SYS359_#4	SYS362_#1	SYS362_#2	SYS351_#1	SYS351_#2	SYS365_#1	SYS365_#2	SYS200_#1	SYS200_#2	SYS196_#1	SYS196_#2	SYS192_#1	SYS192_#2	SYS202_#1	SYS202_#2	SYS198_#1	SYS198_#2	SYS199_#1	SYS199_#2	SYS197_#1	SYS197_#2	SYS188_#1	SYS188_#2	SYS189_#1	SYS189_#2	SYS203_#1	SYS203_#2	SYS193_#1	SYS193_#2	SYS201_#1	SYS201_#2	SYS195_#1	SYS195_#2	SYS190_#1	SYS190_#2	SYS194_#1	SYS194_#2	SYS194_#3	SYS191_#1	SYS191_#2
ABalppppap	1.864790231	2.656177855	3.437670622	3.096814421	2.299291093	2.299291093	0	0	0	0	0	0	3.144598664	1.920716621	2.394587951	3.899020123	1.539991986	2.811045357	2.940444689	3.983949348	3.958709939	2.818655615	2.905982706	3.018817145	2.499511663	3.390858337	3.756684043	4.343074622	2.003037077	2.458985999	2.009986601	4.120631552	2.35481893	2.219876847	2.750134543	3.16842964	3.035351777	0	0	0	0	0	0	0	0	3.19560523	2.090574758	3.486428083	2.412099708	0	0	2.337146041	0.689555986	4.040647943	2.778703313	0	0	0	0	0	0	0	0	0	3.31305014	3.58297401	2.721118382	2.687897995	3.408823266	0	0	0.901371124	3.049250478	2.675892165	2.086079962	2.404535143	1.879344173	2.105285	2.382435982	2.838750303	0	3.246293662	4.017211867	3.021465667	3.490492391	3.771811698	3.196964512	2.062618438	3.535191404	0	0	1.995986498	0	0	3.00940954	3.528962265	3.82759637	2.834323072	3.330864866	3.907604562	2.88767057	3.247743288	3.732258218	3.141349638	0	0	1.998214213	2.431382036	0	0	0	2.682231845	0	0	0	0	2.037774966	3.71408194	3.610939019	3.220018949	2.26617188	2.968846171	4.374297153	4.876063766	0	0	3.742591763	4.127542058	2.710972638	2.086099651	3.570742513	2.6641252	3.76172348	3.36382411	4.619777288	0	0	2.494948825	0	0	0	0	0	0	0	2.54122164	0.842817481	1.184529907	3.155157984	3.114581744	3.714866249	0.848201935	2.27449601	3.470520003	3.455946795	3.083059083	3.467173225	2.960051874	0	0	0	3.242827995	3.345180772	3.122829898	3.408197497	2.518655129	0	2.49813519	0.326898434	3.58680415	3.118060004	0	3.795568436	0	0	0	0	0	0	0	0	0	0	0	0	3.086802641	0	0	0	0	4.375061448	3.524688089	3.540594457	0	0	2.862928982	3.086577847	3.174432977	3.757886587	3.315817677	2.369671396	2.692286904	2.250858389	4.021177849	0	0	0	0	2.603732874	3.663426501	3.249605716	0	0	0	0	0.074948545	0	0	0	0	0	0	0	0	0	0	0	0	0	3.070786601	3.672199683	0	0	0	0	0	0	0	0	0	0	0	3.120285189	0	0.031880252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalpppppa	2.976171414	3.664352767	3.406198107	3.537990659	2.720298006	2.720298006	0	0	0	0	0	0	3.273759788	1.529881038	2.459521036	4.024204573	2.266258781	3.091456741	3.192042592	4.77238134	3.495461183	1.425643864	2.686554336	2.207289027	2.485710065	3.253371365	3.614526784	4.184684597	1.076270406	2.891461772	2.176453618	4.101119923	2.159925691	1.050493129	2.174889467	3.649282834	2.531461533	0	0	0	0	0	0	0	0	3.583683575	1.421961446	3.328493566	3.206974345	0	2.05457811	2.088134799	1.205544067	4.375587447	3.197500306	0	0	0	2.300220269	1.970497327	0	0	0	0	3.007017723	4.100401444	1.690927181	3.222124918	2.570334879	0	0	2.581768664	3.252825749	2.048554806	2.741671561	2.079625142	1.372035441	3.489387794	3.174784217	1.936259373	1.347964161	3.670174283	4.275977756	3.855059991	4.218797076	3.836111406	1.787276559	3.163462901	3.209665601	2.743421821	3.116130491	1.246816501	1.049106779	1.147085115	3.575448651	2.005425159	4.165750277	3.574149909	3.797174746	4.072421126	3.161541726	3.654333734	3.753350159	2.848278532	0.825244196	0	2.570764125	3.458372319	0	0	0	2.885968745	0	0	0	0	1.463403118	3.714605493	3.62496505	3.333836072	2.237547303	3.639486404	4.811138037	4.799508289	2.733869967	0.039859391	3.711174214	4.216140451	2.08372162	2.801014626	3.869592925	2.421237091	3.767507651	3.455865732	4.482745565	0	0.084167285	2.348681758	0	0	0	0	0	0	1.314756104	2.738707236	2.501741608	2.081172052	2.874891358	2.852147205	3.945814354	2.566873832	0.223118846	3.541125574	3.789633854	3.13872841	3.518906222	3.129302111	0	2.981573799	0	2.321764865	3.202259177	3.434289073	3.126315086	1.88017554	0	2.850721534	2.951472161	3.529858726	3.537824777	0	3.799973569	0	0	0	0	0	0	0	0	0	0	0	0	3.37739198	0	0	0	0	4.48431001	3.35972206	4.418128226	0	0	3.223141072	2.476611841	2.97870072	4.159567861	3.386365861	2.459249934	1.77055927	3.219580359	4.212077146	0	0	2.737800225	0	3.273276176	4.456683184	3.412444153	0	0	0	0.86027704	2.847397456	0	0	0	0	0	0	0	0	0	0	0	0	0	2.958161698	4.132557784	0	0	0	0	0	0	0	0	0	0	3.169765098	3.100551248	2.095220934	1.061241681	0	0	0	0	2.273185399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABalpppppp	2.458908992	2.49566647	2.743713831	3.400218284	2.424231346	2.424231346	0	0	0	0	0	0	2.281005476	1.472466006	2.255621013	3.879857005	1.3114008	2.68168188	2.650727357	4.317437548	3.188904327	0.512677523	2.362858143	2.568242367	2.354358893	3.18035012	2.562581678	3.748202809	1.884754412	2.234304086	2.443443457	3.387541772	0	0	0.12794035	3.060961942	1.936610492	0	0	0	0	0	0	0	0	3.232648879	0.791310517	2.967292838	3.035893162	0	0	2.451543727	1.157491036	3.716955751	2.39665707	0	0	0.026067102	0	0	0	0	0	0	3.374139669	3.859546658	0	3.491963461	2.882492758	0	0.027967428	2.471604416	2.697804483	1.880559198	2.452260077	1.631732569	0	3.14815776	2.989300994	1.520682589	1.707424432	3.629716193	3.85909896	3.718878458	4.577817785	3.883559628	0.628179745	3.356583545	2.937777823	2.925264223	3.217470488	1.285382087	0.328056438	0	2.94928814	1.783590948	3.912569192	2.860700273	3.495365121	3.678406647	2.675392754	3.182725239	3.445651455	0.694036821	0	0	2.776885324	3.304376389	0	0	0	0	0	0	0	0	1.530318111	3.077550926	3.635573543	2.764792388	1.503066502	3.511827079	4.397220014	3.309936805	2.697953785	1.729203904	3.454379473	3.654274083	1.990200771	2.429023514	3.226079552	2.210579578	3.273738567	3.121852107	4.959940862	0	0	0	0	0	0	0	0	0	1.576371163	0.530019367	2.385455818	2.103893702	2.366420825	2.519352588	3.966297748	2.623577879	0.7750681	3.407543761	3.349711032	1.501110404	3.00988667	2.73652323	0	2.827142935	0	1.609482559	2.426574197	3.127947637	2.953211085	0	0	1.922685089	2.902873107	3.152730751	3.573059476	0	3.218200655	0	0	0	0	0	0	0	0	0	0	0	0	2.872545094	0	0	0	0	4.177605753	2.848973805	4.187220156	0	0	2.860895197	2.548368763	2.996969329	3.679386201	2.49166334	0	0	2.742882551	3.915903082	0	0	0	0	2.650735166	3.839131312	3.047163804	0	0	0	0	0.303679195	0	0	0	0	0	0	0	0	0	0	0	0	0	2.261281126	3.733810908	0	0	0	0	0	0	0	0	0	0	2.916629641	2.467830337	0	0	0	0	0	0	2.760126012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABaraaaaaa	0	0	0	0	0	0	0	0	0	0	0	0	0.471568368	0	0	3.266175312	1.258536791	0	0	2.918413916	2.095558323	0	0	1.470280915	0	0	2.832063445	2.783174577	2.568238584	1.33319985	0	2.19584652	0	0.703136818	1.152400372	0	1.116001929	0	0	0	0	0	0	0	0	0	0	2.625823415	2.099285871	0	0	0	0	2.467292395	2.124846466	0	1.927280099	0	0	0	0	0	0	0	1.058786946	2.26272291	0.476874906	0	0	0.019068325	1.120134239	0	0.478618369	0	0	0	0	0	0.158854846	1.236335076	1.704191414	0	0.300488021	2.789554037	1.636981668	1.295755794	0	0	1.91240504	1.034950446	1.507314593	0.93154188	0	0	0	0.939865076	2.338975492	2.245806713	0.402235715	1.260987857	2.503479372	1.050927294	2.166483854	0	0	0	0.650013876	0.746556823	0	1.084735371	0	0	0	0	0	0	2.569843857	0	1.435804893	0	0	1.701755457	1.63650963	0	0	0	1.199693745	2.88036751	0	0	0.750393311	0.798897615	1.863231101	0	0.181551321	0	0	0	0	0	0	0.714885817	0	0	0	0	0	0	0	3.029171436	2.546324438	0	0.13196886	2.518125784	1.838214388	2.428839852	1.802243274	2.912980476	0	0	0	0.269705394	0.052552255	2.627624601	2.904647609	0	0	0.4636478	0	1.54410541	3.277889367	0	2.664295561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.648859505	0	0	2.576364502	3.150436235	2.491324513	0	0.865151611	1.511907434	2.107680695	1.233342351	1.211618803	0.675012823	0.587012131	0	0	0	0	0	0.605897915	0	2.135821811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.304083565	0	0	0	0	0	0	0	0	0	0	0	0	0.13122189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABaraaaaap	0	0	0	0	0	0	0	0	0	0	0	0	1.736194351	0	0	3.225775973	1.35254546	0	1.09312435	2.832199722	2.278435394	1.668750017	1.955828519	1.467342885	0	0	3.363635605	3.127895103	2.806454316	1.37839841	1.38797132	1.904010466	0	1.443704403	2.502834337	0.496841726	1.821931329	0	0	0	0	0	0	0	0	0	0.294963303	2.769505868	2.451549483	0	0	0.112454459	0	2.496979184	1.797662657	0	2.145820655	0	0	0	0	0	0	0	2.674876481	2.95897179	1.520480117	0	0.293376171	0.07340397	0.734336515	0	1.866529673	0	0	0	0	1.422707597	0	1.854391881	2.246331668	1.25046982	1.755312985	2.548171872	3.258259394	2.241898821	0	0.763055152	2.734193054	1.84241174	1.294728394	2.454975271	0	0	0	1.657995993	2.324095099	1.994211764	1.300623536	2.31742616	2.90223927	1.726736636	2.506599616	0	0	0	1.5323056	1.667385603	0	1.989797676	0	0.419490115	0	0	0	0	2.716906428	0.698597307	2.612384043	0.160948029	1.881849352	2.154648346	1.943566956	0.463995297	0	0	2.304321246	3.054224373	0	0	0.414303653	1.703898724	1.436791098	1.327613063	0.736062538	0	0	0	0	0	0	0.75609138	0	0	0	0	0	1.681211472	0	3.216190874	2.384795584	0.234594131	0	2.803476499	2.009217375	2.778541021	2.322408591	3.088443073	0	0	0	1.13691432	2.538424174	3.1149183	3.382237844	0.418763092	0	0	0	2.134073045	3.239162132	0	2.192108514	0	0	0	0	0	0.345527877	0	0	0	0	0	0	0	0	0	0	0	2.661817701	2.97868803	2.578358347	0	1.115711065	1.935454319	2.284113371	1.440698136	2.524191645	2.373070752	0	0	0	1.123533002	0	0	1.758437323	0	2.618100243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.163370458	0	0	0	0	0	0	0	0	0	0	0	0.996957893	0.457591309	0	0	0	0	0	0	0	0	0.352980893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABaraaaapa	0	0	0	0	0	0	0	0	0	0	0	0	3.095095146	0	1.080045875	2.718468014	0	0	1.76119048	2.940302315	1.830178031	0	0	0	0	0	2.959701438	3.09081527	1.77694889	1.281324877	0	1.75715005	0.955425131	0	2.18349859	0	2.530696619	0	0	0	0	0	0	0	0	0	0	2.494466702	0	0	0	0	0	2.177837715	2.15905262	0	0	0	0	0	0	0	0	0	2.751730989	2.735328508	0	0	0	0	0	0	0	0	0	0	1.990659877	2.825539801	0	0.051191238	1.784303626	3.059306917	2.581956661	1.469200751	1.6043694	0	0	2.792882747	0.374585056	0	2.29561921	1.337453145	1.018997714	0	1.077489215	0	2.959815504	3.191315535	0.215052795	3.41681946	1.112865105	2.159242979	3.39681361	0	0	0	0	0	0	1.416536058	0	1.820003408	0	0	0	0	2.286672101	0	0.17735045	0	1.997427393	0.033711175	2.497935203	2.210446782	0	0	2.12525861	2.772554656	1.391292954	0	0	2.201527244	2.644289472	0	2.952726758	0	0	0	0	0	1.057004346	0	0	0	0	0.137351011	0	0	0	2.495970338	0	0	0	1.945006831	1.432641949	1.54801712	0	2.778935999	0	0	0	1.68378484	0.925544835	0	1.65808275	0	0	0	0	1.590696274	1.154505641	0	2.422958879	0	0	0	0	0	0	0	0	0	0	2.269582774	0	0	0	0	0	0	1.68790301	2.057012562	2.644336785	0	1.540766592	0	2.355071966	2.084785807	3.199122266	2.676155571	0.895438886	1.05254233	0	2.373555305	1.938573263	0	2.178438737	0	2.681123983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABaraaaapp	0	1.878503333	0	0	0	0	0	0	0	0	0	0	3.332457031	1.722518597	2.645860163	3.80938357	2.977948127	0	3.404789099	3.858173	3.909739352	3.069073386	0.93766758	0	2.919053329	2.94684362	4.125711373	3.210570789	2.292637345	1.635001508	1.436351794	1.321950996	2.653258454	1.943090481	2.520583543	2.512143857	3.279611609	0	0	0	0	0	0	0	0.32075333	2.780629102	0	2.10253106	2.558731643	0	0	1.401004421	0	2.226982306	2.402471465	0	0	0	1.718663717	0	0	0	0	2.574447238	2.939346081	1.261885832	1.999376188	0	0	2.11531227	1.318527531	0	1.742050855	3.011196843	0	0	1.311620562	3.609871257	1.910747765	3.290980966	2.234255422	2.565595294	2.78492897	2.21023799	3.44669326	3.290677019	0.980654157	3.566691969	1.973038738	1.450286921	0.859713452	2.777966055	1.020025744	0	2.007982527	0.787243232	3.703926787	3.4719339	2.849336301	3.679327332	3.55056941	2.565620412	3.307421201	0	0	0	2.232969221	2.785036889	0	0	0	2.477382722	0	0	0	0	2.815608877	3.254890557	4.012061145	2.705568006	2.953435511	2.890888311	2.374313797	3.518304514	0.713124548	1.218255436	2.625235276	3.579778161	2.708585845	0.241654118	2.562069038	2.916848934	3.916152725	1.084406887	3.699548856	0	0	0	0	0	1.969562521	0	0	0	0	0.29206947	0	0	1.739438641	3.295486944	3.732959448	0	2.20274337	3.600194214	2.893392687	1.795203434	1.745691687	3.194467999	0	0.109391472	3.058007026	3.005633803	3.675789157	3.152658487	3.856128819	2.515232605	0	2.210593019	1.198928727	2.983430357	3.332715717	0	2.666526042	0	0	0	0	0	0	0	0	0	0	0	0	2.897602263	0	0	0	0	3.001494875	3.915486637	3.562157171	0	3.200299804	2.703542568	2.463502454	2.964299618	3.761346418	3.932081062	2.036776475	1.755179908	0	3.555092722	1.37073647	0	3.728410026	0	1.643840982	0	2.621223753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.574919136	1.131161566	0	0	0	0	0	0	0	0	1.718598349	0	1.886867024	1.646373959	0.592300805	0	0.500790487	0	0	0	0	0	0	0	0	0	0	0	0	0.572699547	0	0	0	0	0	0	0	0	0
ABaraaapaa	3.253250182	0	1.085238158	0	1.879205492	1.879205492	0	0	0	0	1.668129233	0	3.333405169	0	3.511070564	4.429782787	3.019304864	2.831821514	3.473133194	4.315455852	4.172140979	2.925642342	2.950710897	3.924115587	3.182139387	3.723556582	4.673257015	4.276628713	3.271078893	2.758151653	3.202247372	2.559895755	2.665901442	3.548084164	3.60211247	3.372604352	3.862722671	0	0	0	0	2.729815382	0	0.423918434	0.835307344	2.090535463	2.913198892	3.557054901	3.070898381	0	0	0	2.28377132	3.451224873	4.174067597	2.247560591	2.558432757	2.542481536	2.343927719	0.847627905	0	0	0.741517532	2.412835042	2.531011259	4.246902671	3.285026552	1.837499092	3.659273301	1.678654974	0.10363462	2.642098887	0.008949985	2.923561994	0.985215894	1.217850644	3.03517494	4.280378613	3.141533703	3.261753817	2.863682667	4.085773042	3.739765344	4.083880997	4.618974911	3.780735022	0	3.437612925	2.940787076	3.56822009	3.315238243	3.337457288	0	1.89971648	3.689713439	3.953365004	4.442289267	3.793514422	3.791603849	3.922955684	3.990560353	3.360676847	4.026689786	3.505909929	0	1.710455914	3.267402667	2.114283643	1.233402931	0.137873877	0	2.606303204	0	0	0.241549749	0	3.508667246	4.337037712	3.853803018	1.20316062	3.918638982	4.394153167	2.798712712	3.356846845	0	1.259698372	4.524995214	4.518639772	3.316261056	2.693004076	3.512505178	3.793023913	3.42927744	3.419637255	3.263311729	0	1.047529591	0	0	0	2.456290375	0	0	0.277097199	2.681382527	0.775838789	0	3.717150157	0.200697794	4.057306133	3.826786889	3.698797279	3.195786323	4.304541754	2.777356147	3.895312425	3.074948244	3.928044777	0	1.205330259	0	3.401374155	3.76820768	3.767042374	4.245989998	3.369395322	1.079391027	2.38882172	1.131346102	3.757372304	4.089830839	0	4.340890272	0	0	0	0	2.655096298	3.522595898	0	0	0	2.355844749	0	0	1.41670584	3.420851244	2.11635276	0	0	4.882752357	3.314760471	4.373286997	3.025875763	3.052377858	3.635703031	3.284269841	2.418279306	3.524469794	2.4257757	3.290403577	3.395463635	1.978031881	3.34912274	3.429747108	2.043961258	4.62323341	1.828416185	3.242590533	3.55909538	4.176269736	0	0	0	3.051279584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.941943631	3.717312759	0	0	0	0	0	0	0	0.564701448	0	0	1.369596644	3.063295186	1.903539933	0	2.654645856	0	0	0	1.425461973	0	0	0	0	0	0	1.771119348	0	0	1.701049713	0	0	0	0	0	0	0	0
ABaraaapap	2.752887299	0	0	0	1.703919046	0.447465421	0	0	0	0	2.369074051	0	2.834735922	0	2.836653952	4.371441905	2.513738666	3.285272434	2.518854533	4.063066151	3.926179661	2.534962147	1.903335622	3.397858193	3.247070512	3.336278895	4.261058281	4.028710595	2.938792666	2.722037963	3.026696193	2.597841642	2.263991172	3.351757583	2.950397655	2.853414114	3.459441166	0	0	0	0	2.095128386	0	1.115154889	0	2.122379055	2.023662628	3.105551766	2.684826553	0	0	0	2.014008368	2.821948481	3.806685889	1.62551638	2.66208439	2.200342758	2.348262637	0	0	0	0	1.968915971	2.631941983	4.179160765	3.213491633	2.752673927	3.927155211	0.322976462	0	2.643081817	2.54997723	2.873084861	0.02561837	0.333659021	2.317136483	3.631597009	2.447098363	2.892136822	2.313659497	4.245884622	3.440070171	3.909986546	4.411858975	3.56030683	0	3.658705647	2.469048724	3.066073369	3.142205281	2.993989813	0	1.006468674	3.160214223	3.825035121	4.470291178	3.022017089	3.318581141	3.735165528	3.748141845	3.181688293	3.893417644	3.178531163	0	1.242868666	3.412601392	1.873267705	1.064977804	0.546362737	0	1.513120241	0	0	0.425547989	0	3.724495376	3.947367509	3.888031062	0	3.533062293	3.644233632	2.391744248	3.215548147	1.229372196	1.715682884	4.336015461	4.635852929	3.458627781	3.037225815	3.016153909	3.50025513	3.635064404	3.073819385	3.188826692	0	0.633915688	0	0	0	1.596652517	0	0	0	2.333111772	0	0	3.342548017	0	3.536381128	3.06940623	3.65461865	2.847078545	3.940953611	2.29559049	3.269122551	2.474439802	3.425967572	0	0.972179057	0	3.249418209	3.224788832	3.257962196	3.814027807	3.20035335	0	1.777233917	0.501882514	3.650282709	3.818751567	0	3.90147532	0	0	0	0	1.921062016	3.28003904	0	0	0	1.636008961	0	0	0.958917685	3.050793764	1.402438277	0	0	4.58208107	2.603237148	3.895589832	2.305107983	2.462862662	3.584550158	2.737563701	2.393460842	3.045490638	1.86468973	2.5831373	2.700454242	0	2.757806713	2.999320246	1.713061328	4.29794381	2.375682994	2.644939045	3.03732352	4.189923029	0	0	0	2.401973224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.719619046	3.680003279	0	0	0	0	0	0	0.436489182	0	0	0	1.902986738	2.85365694	1.604614009	0	2.186972473	0	0	0	0.94494771	0	0	0	0	0	0	0.888782813	0.625758091	0	1.760681047	0	0	0	0	0	0	0	0
ABaraaappa	3.17236419	0	1.194156308	0	0	0	0	0	0	0	0.690273557	0	3.391156697	1.683985221	3.737361485	4.596804139	3.787603071	3.584343847	2.104341208	3.871703229	3.726043396	2.205910418	2.731209985	3.984157381	3.000794378	3.572300226	4.20828887	3.350232648	3.206728433	2.052587776	2.972584761	1.866352476	1.956107408	3.261312025	2.419734192	1.803219771	3.354650314	0	0	0	0	1.850618577	0	0	0	0	0.955202464	3.431969699	2.256376687	0	0	0	2.727811942	2.843835262	3.965153016	1.900092443	3.031132093	0	2.689773667	2.072021025	0	0	0	2.196341513	0.151189827	3.973927921	3.302943202	0.888255269	3.356542379	2.106234418	1.078093046	1.401631922	2.84952533	3.247044494	1.875425183	0	1.961268344	3.768094134	2.675189973	3.015198014	1.952313022	4.092770106	3.56423435	3.995773706	4.928985374	3.585885966	0	2.693708665	0.700649657	3.536179145	2.83548004	3.066269753	0	3.177419204	4.093195932	3.000465061	3.700031504	3.300534398	3.590666492	3.604268628	4.035618839	2.865508472	3.136347583	3.146455178	0	0	2.902940376	2.368241434	0	0.096744324	0	1.672290413	0	0	0	0	3.819919981	4.37722403	3.170835617	0	4.046121308	4.086072239	3.380424455	3.019383749	0	0	3.90346966	4.119453187	3.663486172	0	2.576954322	2.950270223	2.153741145	3.199268046	2.379212237	0	0	0	0	0	2.438378796	0	0	0	4.164856242	1.436048171	0.682821545	3.749338885	0	4.143940835	3.796143226	2.558175998	2.438739713	4.159222845	3.189482789	3.645969996	4.215401581	3.495433908	0	2.285113841	0	2.988581332	4.313665062	3.830719262	4.616083766	3.279277625	3.742541467	3.042757456	2.287441732	3.393423276	3.74227687	0	4.387225115	0	0	0	0	2.03123313	3.35561633	0	1.479884461	0	1.571606856	0	0	1.314272985	0.287561519	2.052268459	0	0	4.616995671	4.10454434	4.503838686	0	2.46119392	3.357634214	2.242892238	3.181934186	4.008855038	3.464519343	2.46492633	0.805515832	0	3.459834278	3.057525868	2.462166511	4.51278498	1.496079219	2.931600459	3.077049348	3.815550507	0	0	0	0	0.871735168	0	0	0	0	0	0	0	0	0	0	0	0	0	3.215617156	2.502922394	0	0	0	0	0	0	0	0	0.605141929	0	1.286106068	3.488605879	0.043799041	0	2.685269887	0	0	0	1.318740118	2.070306916	2.438787791	0	0	0.478424274	0	1.067925882	0	0	0.979491107	0.482931906	0	0	0	0	0	0	0
