	ABalaaaala	ABalaaaalp	ABalaaaarl	ABalaaaarr	ABalaaapal	ABalaaapar	ABalaaappl	ABalaaappr	ABalaapaaa	ABalaapaap	ABalaapapa	ABalaapapp	ABalaappaa	ABalaappap	ABalaapppa	ABalaapppp	ABalapaaaa	ABalapaaap	ABalapaapa	ABalapaapp	ABalapapaa	ABalapapap	ABalapappa	ABalapappp	ABalappaaa	ABalappaap	ABalappapa	ABalappapp	ABalapppaa	ABalapppap	ABalappppa	ABalappppp	ABalpaaaaa	ABalpaaaap	ABalpaaapa	ABalpaaapp	ABalpaapaa	ABalpaapap	ABalpaappa	ABalpaappp	ABalpapaaa	ABalpapaap	ABalpapapa	ABalpapapp	ABalpappaa	ABalpappap	ABalpapppa	ABalpapppp	ABalppaaaa	ABalppaaap	ABalppaapa	ABalppaapp	ABalppapaa	ABalppapap	ABalppappa	ABalppappp	ABalpppaaa	ABalpppaap	ABalpppapa	ABalpppapp	ABalppppaa	ABalppppap	ABalpppppa	ABalpppppp	ABaraaaaaa	ABaraaaaap	ABaraaaapa	ABaraaaapp	ABaraaapaa	ABaraaapap	ABaraaappa	ABaraaappp	ABaraapaaa	ABaraapaap	ABaraapapa	ABaraapapp	ABaraappaa	ABaraappap	ABaraapppa	ABaraapppp	ABarapaaaa	ABarapaaap	ABarapaapa	ABarapaapp	ABarapapaa	ABarapapap	ABarapappa	ABarapappp	ABarappaaa	ABarappaap	ABarappapa	ABarappapp	ABarapppaa	ABarapppap	ABarappppa	ABarappppp	ABarpaaaaa	ABarpaaaap	ABarpaaapa	ABarpaaapp	ABarpaapaa	ABarpaapap	ABarpaappa	ABarpaappp	ABarpapaaa	ABarpapaap	ABarpapapa	ABarpapapp	ABarpappaa	ABarpappap	ABarpapppa	ABarpapppp	ABarppaaaa	ABarppaaap	ABarppaapa	ABarppaapp	ABarppapaa	ABarppapap	ABarppappa	ABarppappp	ABarpppaaa	ABarpppaap	ABarpppapa	ABarpppapp	ABarppppaa	ABarppppap	ABarpppppa	ABarpppppp	ABplaaaaaa	ABplaaaaap	ABplaaaapa	ABplaaaapp	ABplaaapaa	ABplaaapap	ABplaaappa	ABplaaappp	ABplaapaaa	ABplaapaap	ABplaapapa	ABplaapapp	ABplaappaa	ABplaappap	ABplaapppa	ABplaapppp	ABplapaaaa	ABplapaaap	ABplapaapa	ABplapaapp	ABplapapaa	ABplapapap	ABplapappa	ABplapappp	ABplappaaa	ABplappaap	ABplappapa	ABplappapp	ABplapppaa	ABplapppap	ABplappppa	ABplappppp	ABplpaaaaa	ABplpaaaap	ABplpaaapa	ABplpaaapp	ABplpaapaa	ABplpaapap	ABplpaappa	ABplpaappp	ABplpapaaa	ABplpapaap	ABplpapapa	ABplpapapp	ABplpappaa	ABplpappap	ABplpapppa	ABplpapppp	ABplppaaaa	ABplppaaap	ABplppaapa	ABplppaapp	ABplppapaa	ABplppapap	ABplppappa	ABplppappp	ABplpppaaa	ABplpppaap	ABplpppapa	ABplpppapp	ABplppppaa	ABplppppap	ABplpppppa	ABplpppppp	ABpraaaaaa	ABpraaaaap	ABpraaaapa	ABpraaaapp	ABpraaapaa	ABpraaapap	ABpraaappa	ABpraaappp	ABpraapaaa	ABpraapaap	ABpraapapa	ABpraapapp	ABpraappaa	ABpraappap	ABpraapppa	ABpraapppp	ABprapaaaa	ABprapaaap	ABprapaapa	ABprapaapp	ABprapapaa	ABprapapap	ABprapappa	ABprapappp	ABprappaaa	ABprappaap	ABprappapa	ABprappapp	ABprapppaa	ABprapppap	ABprappppa	ABprappppp	ABprpaaaaa	ABprpaaaap	ABprpaaapa	ABprpaaapp	ABprpaapaa	ABprpaapap	ABprpaappa	ABprpaappp	ABprpapaaa	ABprpapaap	ABprpapapa	ABprpapapp	ABprpappaa	ABprpappap	ABprpapppa	ABprpapppp	ABprppaaaa	ABprppaaap	ABprppaapa	ABprppaapp	ABprppapaa	ABprppapap	ABprppappa	ABprppappp	ABprpppaaa	ABprpppaap	ABprpppapa	ABprpppapp	ABprppppaa	ABprppppap	ABprpppppa	ABprpppppp	MSaaaaaa	MSaaaaap	MSaaaapa	MSaaaapp	MSaaapaa	MSaaapap	MSaaapp	MSaapaaa	MSaapaap	MSaapapa	MSaapapp	MSaappa	MSaappp	MSapaaaa	MSapaaap	MSapaap	MSapapaa	MSapapap	MSapappa	MSapappp	MSappaaa	MSappaap	MSappap	MSapppaa	MSapppap	MSapppp	MSpaaaaa	MSpaaaap	MSpaaapa	MSpaaapp	MSpaapaa	MSpaapap	MSpaapp	MSpapaaa	MSpapaap	MSpapapa	MSpapapp	MSpappa	MSpappp	MSppaaaa	MSppaaap	MSppaapa	MSppaapp	MSppapaa	MSppapap	MSppappa	MSppappp	MSpppaa	MSpppap	MSppppaa	MSppppap	MSpppppa	MSpppppp	Ealaa	Ealap	Ealpa	Ealpp	Earaa	Earap	Earpa	Earpp	Eplaa	Eplap	Eplpa	Eplpp	Epraa	Eprap	Eprpa	Eprpp	Caaaaa	Caaaap	Caaapa	Caaapp	Caapa	Caappd	Caappv	Capaaa	Capaap	Capapa	Capapp	Cappaa	Cappap	Capppa	Capppp	Cpaaaa	Cpaaap	Cpaapa	Cpaapp	Cpapaa	Cpapap	Cpappd	Cpappv	Cppaaa	Cppaap	Cppapa	Cppapp	Cpppaa	Cpppap	Cppppa	Cppppp	Daaa	Daap	Dapa	Dapp	Dpaa	Dpap	Dppa	Dppp
ABaraapppp																																																																												1.0																																																																																																																																																																																																																																																																																																
ABarapaaaa																																	1.0																																																																																																																																																																																																																																																																																																																																											
ABarapaaap																																		1.0																																																																																																																																																																																																																																																																																																																																										
ABarapaapa																																			1.0																																																																																																																																																																																																																																																																																																																																									
ABarapaapp																																				1.0																																																																																																																																																																																																																																																																																																																																								
ABarapapaa																																													1.0																																																																																																																																																																																																																																																																																																																															
ABarapapap																																																																																																																																																																																																																																																																																																																																																																												
ABarapappa																																															1.0																																																																																																																																																																																																																																																																																																																													
ABarapappp																																																1.0																																																																																																																																																																																																																																																																																																																												
ABarappaaa																																									1.0																																																																																																																																																																																																																																																																																																																																			
ABarappaap																																																																																																																																																																																																																																																																																																																																																																												
ABarappapa																																											1.0																																																																																																																																																																																																																																																																																																																																	
ABarappapp																																												1.0																																																																																																																																																																																																																																																																																																																																
ABarapppaa																																																					1.0																																																																																																																																																																																																																																																																																																																							
ABarapppap																																																						1.0																																																																																																																																																																																																																																																																																																																						
ABarappppa																																																							1.0																																																																																																																																																																																																																																																																																																																					
ABarappppp																																																								1.0																																																																																																																																																																																																																																																																																																																				
ABarpaaaaa																																																																																																																																																																																																																																																																																																																																																																												
ABarpaaaap																																																																																																			1.0																																																																																																																																																																																																																																																																									
ABarpaaapa																																																																																																		1.0																																																																																																																																																																																																																																																																										
ABarpaaapp																																																																																																																																																																																																																																																																																																																																																																												
ABarpaapaa																																																																																																																																																																																																																																																																																																																																																																												
ABarpaapap																																																																																																																																																																																																																																																																																																																																																																												
ABarpaappa																																																																																																																																																																																																																																																																																																																																																																												
ABarpaappp																																																																																																																																																																																																																																																																																																																																																																												
ABarpapaaa																																																																																																																																	1.0																																																																																																																																																																																																																																											
ABarpapaap																																																																																																																																		1.0																																																																																																																																																																																																																																										
ABarpapapa																																																																																																																																			1.0																																																																																																																																																																																																																																									
ABarpapapp																																																																																																																																				1.0																																																																																																																																																																																																																																								
ABarpappaa																																																																																																																																					1.0																																																																																																																																																																																																																																							
ABarpappap																																																																																																																																						1.0																																																																																																																																																																																																																																						
ABarpapppa																																																																																																																																							1.0																																																																																																																																																																																																																																					
ABarpapppp																																																																																																																																								1.0																																																																																																																																																																																																																																				
ABarppaaaa																																																																																																																									1.0																																																																																																																																																																																																																																																			
ABarppaaap																																																																																																																										1.0																																																																																																																																																																																																																																																		
ABarppaapa																																																																																																																											1.0																																																																																																																																																																																																																																																	
ABarppaapp																																																																																																																												1.0																																																																																																																																																																																																																																																
ABarppapaa																																																																																																																													1.0																																																																																																																																																																																																																																															
ABarppapap																																																																																																																														1.0																																																																																																																																																																																																																																														
ABarppappa																																																																																																																															1.0																																																																																																																																																																																																																																													
ABarppappp																																																																																																																																1.0																																																																																																																																																																																																																																												
ABarpppaaa																																																																																																																	1.0																																																																																																																																																																																																																																																											
ABarpppaap																																																																																																																		1.0																																																																																																																																																																																																																																																										
ABarpppapa																																																																																																																			1.0																																																																																																																																																																																																																																																									
ABarpppapp																																																																																																																				1.0																																																																																																																																																																																																																																																								
ABarppppaa																																																																																																																					1.0																																																																																																																																																																																																																																																							
ABarppppap																																																																																																																						1.0																																																																																																																																																																																																																																																						
ABarpppppa																																																																																																																							1.0																																																																																																																																																																																																																																																					
ABarpppppp																																																																																																																								1.0																																																																																																																																																																																																																																																				
ABplaaaaaa																																																																																																									1.0																																																																																																																																																																																																																																																																			
ABplaaaaap																																																																																																										1.0																																																																																																																																																																																																																																																																		
ABplaaaapa																																																																																																											1.0																																																																																																																																																																																																																																																																	
ABplaaaapp																																																																																																												1.0																																																																																																																																																																																																																																																																
ABplaaapaa																																																																																																													1.0																																																																																																																																																																																																																																																															
ABplaaapap																																																																																																														1.0																																																																																																																																																																																																																																																														
ABplaaappa																																																																																																															1.0																																																																																																																																																																																																																																																													
ABplaaappp																																																																																																																1.0																																																																																																																																																																																																																																																												
ABplaapaaa																																																																																																																																																																																																									1.0																																																																																																																																																																			
ABplaapaap																																																																																																																																																																																																										1.0																																																																																																																																																																		
ABplaapapa																																																																																																																																																																																																											1.0																																																																																																																																																																	
ABplaapapp																																																																																																																																																																																																												1.0																																																																																																																																																																
ABplaappaa																																																																																																																																																																																																													1.0																																																																																																																																																															
ABplaappap																																																																																																																																																																																																														1.0																																																																																																																																																														
ABplaapppa																																																																																																																																																																																																															1.0																																																																																																																																																													
ABplaapppp																																																																																																																																																																																																																1.0																																																																																																																																																												
ABplapaaaa																																																																																																																																																																																																																	1.0																																																																																																																																																											
ABplapaaap																																																																																																																																																																																																																		1.0																																																																																																																																																										
ABplapaapa																																																																																																																																																																																																																																																																																																																																																																												
ABplapaapp																																																																																																																																																																																																																				1.0																																																																																																																																																								
ABplapapaa																																																																																																																																																																																																																					1.0																																																																																																																																																							
ABplapapap																																																																																																																																																																																																																						1.0																																																																																																																																																						
ABplapappa																																																																																																																																																																																																																							1.0																																																																																																																																																					
ABplapappp																																																																																																																																																																																																																								1.0																																																																																																																																																				
ABplappaaa																																																																																																																																																																																																																									1.0																																																																																																																																																			
ABplappaap																																																																																																																																																																																																																										1.0																																																																																																																																																		
ABplappapa																																																																																																																																																																																																																											1.0																																																																																																																																																	
ABplappapp																																																																																																																																																																																																																												1.0																																																																																																																																																
ABplapppaa																																																																																																																																																																																																																													1.0																																																																																																																																															
ABplapppap																																																																																																																																																																																																																														1.0																																																																																																																																														
ABplappppa																																																																																																																																																																																																																															1.0																																																																																																																																													
ABplappppp																																																																																																																																																																																																																																1.0																																																																																																																																												
ABplpaaaaa																																																																																																																																																																																																																																	1.0																																																																																																																																											
ABplpaaaap																																																																																																																																																																																																																																																																																																																																																																												
ABplpaaapa																																																																																																																																																																																																																																			1.0																																																																																																																																									
ABplpaaapp																																																																																																																																																																																																																																				1.0																																																																																																																																								
ABplpaapaa																																																																																																																																																																																																																																					1.0																																																																																																																																							
ABplpaapap																																																																																																																																																																																																																																						1.0																																																																																																																																						
ABplpaappa																																																																																																																																																																																																																																							1.0																																																																																																																																					
ABplpaappp																																																																																																																																																																																																																																								1.0																																																																																																																																				
ABplpapaaa																																																																																																																																																																																																																																									1.0																																																																																																																																			
ABplpapaap																																																																																																																																																																																																																																										1.0																																																																																																																																		
ABplpapapa																																																																																																																																																																																																																																											1.0																																																																																																																																	
ABplpapapp																																																																																																																																																																																																																																												1.0																																																																																																																																
ABplpappaa																																																																																																																																																																																																																																																																																																																																																																												
ABplpappap																																																																																																																																																																																																																																																																																																																																																																												
ABplpapppa																																																																																																																																																																																																																																																																																																																																																																												
ABplpapppp																																																																																																																																																																																																																																																																																																																																																																												
ABplppaaaa																																																																																																																																																																																																																																																	1.0																																																																																																																											
ABplppaaap																																																																																																																																																																																																																																																		1.0																																																																																																																										
ABplppaapa																																																																																																																																																																																																																																																			1.0																																																																																																																									
ABplppaapp																																																																																																																																																																																																																																																				1.0																																																																																																																								
ABplppapaa																																																																																																																																																																																																																																																					1.0																																																																																																																							
ABplppapap																																																																																																																																																																																																																																																																																																																																																																												
ABplppappa																																																																																																																																																																																																																																																							1.0																																																																																																																					
ABplppappp																																																																																																																																																																																																																																																																																																																																																																												
ABplpppaaa																																																																																																																																																																																																																																																																																																																																																																												
ABplpppaap																																																																																																																																																																																																																																																										1.0																																																																																																																		
ABplpppapa																																																																																																																																																																																																																																																											1.0																																																																																																																	
ABplpppapp																																																																																																																																																																																																																																																												1.0																																																																																																																
ABplppppaa																																																																																																																																																																																																																																																													1.0																																																																																																															
ABplppppap																																																																																																																																																																																																																																																																																																																																																																												
ABplpppppa																																																																																																																																																																																																																																																																																																																																																																												
ABplpppppp																																																																																																																																																																																																																																																																1.0																																																																																																												
ABpraaaaaa																																																									1.0																																																																																																																																																																																																																																																																																																																			
ABpraaaaap																																																										1.0																																																																																																																																																																																																																																																																																																																		
ABpraaaapa																																																											1.0																																																																																																																																																																																																																																																																																																																	
ABpraaaapp																																																												1.0																																																																																																																																																																																																																																																																																																																
ABpraaapaa																																																													1.0																																																																																																																																																																																																																																																																																																															
ABpraaapap																																																														1.0																																																																																																																																																																																																																																																																																																														
ABpraaappa																																																															1.0																																																																																																																																																																																																																																																																																																													
ABpraaappp																																																																1.0																																																																																																																																																																																																																																																																																																												
ABpraapaaa																																																																																																																																									1.0																																																																																																																																																																																																																																			
ABpraapaap																																																																																																																																										1.0																																																																																																																																																																																																																																		
ABpraapapa																																																																																																																																											1.0																																																																																																																																																																																																																																	
ABpraapapp																																																																																																																																												1.0																																																																																																																																																																																																																																
ABpraappaa																																																																																																																																													1.0																																																																																																																																																																																																																															
ABpraappap																																																																																																																																														1.0																																																																																																																																																																																																																														
ABpraapppa																																																																																																																																															1.0																																																																																																																																																																																																																													
ABpraapppp																																																																																																																																																1.0																																																																																																																																																																																																																												
ABprapaaaa																																																																																																																																																	1.0																																																																																																																																																																																																																											
ABprapaaap																																																																																																																																																		1.0																																																																																																																																																																																																																										
ABprapaapa																																																																																																																																																																																																																																																																																																																																																																												
ABprapaapp																																																																																																																																																				1.0																																																																																																																																																																																																																								
ABprapapaa																																																																																																																																																					1.0																																																																																																																																																																																																																							
ABprapapap																																																																																																																																																						1.0																																																																																																																																																																																																																						
ABprapappa																																																																																																																																																							1.0																																																																																																																																																																																																																					
ABprapappp																																																																																																																																																								1.0																																																																																																																																																																																																																				
ABprappaaa																																																																																																																																																									1.0																																																																																																																																																																																																																			
ABprappaap																																																																																																																																																										1.0																																																																																																																																																																																																																		
ABprappapa																																																																																																																																																											1.0																																																																																																																																																																																																																	
ABprappapp																																																																																																																																																												1.0																																																																																																																																																																																																																
ABprapppaa																																																																																																																																																													1.0																																																																																																																																																																																																															
ABprapppap																																																																																																																																																														1.0																																																																																																																																																																																																														
ABprappppa																																																																																																																																																															1.0																																																																																																																																																																																																													
ABprappppp																																																																																																																																																																1.0																																																																																																																																																																																																												
ABprpaaaaa																																																																																																																																																																	1.0																																																																																																																																																																																																											
ABprpaaaap																																																																																																																																																																																																																																																																																																																																																																												
ABprpaaapa																																																																																																																																																																			1.0																																																																																																																																																																																																									
ABprpaaapp																																																																																																																																																																				1.0																																																																																																																																																																																																								
ABprpaapaa																																																																																																																																																																					1.0																																																																																																																																																																																																							
ABprpaapap																																																																																																																																																																						1.0																																																																																																																																																																																																						
ABprpaappa																																																																																																																																																																							1.0																																																																																																																																																																																																					
ABprpaappp																																																																																																																																																																								1.0																																																																																																																																																																																																				
ABprpapaaa																																																																																																																																																																									1.0																																																																																																																																																																																																			
ABprpapaap																																																																																																																																																																										1.0																																																																																																																																																																																																		
ABprpapapa																																																																																																																																																																											1.0																																																																																																																																																																																																	
ABprpapapp																																																																																																																																																																												1.0																																																																																																																																																																																																
ABprpappaa																																																																																																																																																																																																																																																																																																																																																																												
ABprpappap																																																																																																																																																																																																																																																																																																																																																																												
ABprpapppa																																																																																																																																																																																																																																																																																																																																																																												
ABprpapppp																																																																																																																																																																																																																																																																																																																																																																												
ABprppaaaa																																																																																																																																																																																	1.0																																																																																																																																																																																											
ABprppaaap																																																																																																																																																																																		1.0																																																																																																																																																																																										
ABprppaapa																																																																																																																																																																																			1.0																																																																																																																																																																																									
ABprppaapp																																																																																																																																																																																				1.0																																																																																																																																																																																								
ABprppapaa																																																																																																																																																																																					1.0																																																																																																																																																																																							
ABprppapap																																																																																																																																																																																																																																																																																																																																																																												
ABprppappa																																																																																																																																																																																							1.0																																																																																																																																																																																					
ABprppappp																																																																																																																																																																																																																																																																																																																																																																												
ABprpppaaa																																																																																																																																																																																																																																																																																																																																																																												
